Patient ID,Specialty,Referral Source,Engagement History,Website Interactions,Lead Source,Conversion Probability,Lead Score
L61105,Cardiology,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,45.0,50.03
L71050,Pediatrics,Digital Ad,Visited website 8 times,Visited 1 pages,Referral,78.0,42.19
L13657,Cardiology,Word of Mouth,Visited website 5 times,Visited 2 pages,Digital Ad,37.0,50.95
L31230,Orthopedics,Doctor Referral,Visited website 5 times,Visited 4 pages,Referral,36.0,48.44
L28680,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Referral,33.0,64.46
L92694,Neurology,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,76.0,76.09
L94731,Pediatrics,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,46.0,21.3
L52340,Pediatrics,Digital Ad,Visited website 8 times,Visited 4 pages,Digital Ad,52.0,29.7
L45950,Cardiology,Word of Mouth,Visited website 8 times,Visited 4 pages,Organic Search,59.0,79.01
L88515,Cardiology,Word of Mouth,Visited website 6 times,Visited 4 pages,Digital Ad,49.0,61.09
L17867,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,30.0,29.8
L90691,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,63.0,56.27
L88542,Orthopedics,Digital Ad,Visited website 4 times,Visited 3 pages,Digital Ad,74.0,52.64
L14329,Pediatrics,Digital Ad,Visited website 9 times,Visited 2 pages,Organic Search,42.0,33.79
L98087,Cardiology,Doctor Referral,Visited website 9 times,Visited 4 pages,Organic Search,74.0,97.7
L45865,Pediatrics,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,51.0,23.6
L76940,Neurology,Doctor Referral,Visited website 7 times,Visited 1 pages,Organic Search,73.0,79.31
L47869,Orthopedics,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,79.0,57.5
L76905,Orthopedics,Digital Ad,Visited website 9 times,Visited 4 pages,Organic Search,72.0,71.17
L93984,Neurology,Digital Ad,Visited website 3 times,Visited 4 pages,Digital Ad,71.0,61.5
L99711,Neurology,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,44.0,37.79
L76252,Pediatrics,Word of Mouth,Visited website 6 times,Visited 3 pages,Organic Search,34.0,21.92
L89386,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Referral,45.0,24.94
L11711,Neurology,Digital Ad,Visited website 4 times,Visited 4 pages,Digital Ad,36.0,46.9
L35801,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Referral,62.0,32.77
L97287,Pediatrics,Doctor Referral,Visited website 2 times,Visited 2 pages,Organic Search,74.0,42.91
L63270,Orthopedics,Word of Mouth,Visited website 8 times,Visited 2 pages,Digital Ad,49.0,40.6
L81622,Cardiology,Word of Mouth,Visited website 9 times,Visited 2 pages,Digital Ad,61.0,68.15
L65535,Neurology,Word of Mouth,Visited website 9 times,Visited 3 pages,Organic Search,68.0,72.91
L86759,Cardiology,Digital Ad,Visited website 2 times,Visited 3 pages,Referral,39.0,59.04
L26220,Neurology,Word of Mouth,Visited website 2 times,Visited 1 pages,Organic Search,51.0,51.25
L23392,Neurology,Word of Mouth,Visited website 4 times,Visited 3 pages,Digital Ad,42.0,43.01
L95587,Pediatrics,Doctor Referral,Visited website 2 times,Visited 1 pages,Organic Search,57.0,33.54
L12246,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,46.0,20.28
L30010,Neurology,Doctor Referral,Visited website 3 times,Visited 1 pages,Organic Search,67.0,70.4
L78358,Neurology,Word of Mouth,Visited website 5 times,Visited 2 pages,Digital Ad,76.0,58.68
L27234,Pediatrics,Doctor Referral,Visited website 9 times,Visited 3 pages,Organic Search,78.0,57.04
L59451,Pediatrics,Digital Ad,Visited website 2 times,Visited 2 pages,Organic Search,32.0,18.43
L85205,Cardiology,Word of Mouth,Visited website 2 times,Visited 2 pages,Organic Search,66.0,69.94
L31784,Orthopedics,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,41.0,39.99
L39672,Orthopedics,Digital Ad,Visited website 6 times,Visited 4 pages,Digital Ad,39.0,41.12
L11082,Cardiology,Digital Ad,Visited website 4 times,Visited 4 pages,Referral,76.0,80.7
L21148,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Referral,38.0,59.6
L37494,Pediatrics,Digital Ad,Visited website 1 times,Visited 2 pages,Referral,35.0,13.16
L85093,Neurology,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,69.0,65.18
L61952,Orthopedics,Doctor Referral,Visited website 6 times,Visited 1 pages,Organic Search,62.0,62.47
L46719,Pediatrics,Digital Ad,Visited website 8 times,Visited 4 pages,Referral,62.0,39.43
L58737,Cardiology,Doctor Referral,Visited website 6 times,Visited 3 pages,Organic Search,46.0,78.65
L69453,Cardiology,Digital Ad,Visited website 4 times,Visited 4 pages,Referral,75.0,80.24
L49536,Orthopedics,Doctor Referral,Visited website 5 times,Visited 3 pages,Digital Ad,59.0,52.38
L60604,Neurology,Word of Mouth,Visited website 9 times,Visited 2 pages,Organic Search,64.0,69.53
L60833,Neurology,Doctor Referral,Visited website 1 times,Visited 4 pages,Organic Search,65.0,71.02
L24039,Neurology,Digital Ad,Visited website 6 times,Visited 2 pages,Referral,46.0,56.63
L77839,Orthopedics,Digital Ad,Visited website 7 times,Visited 1 pages,Referral,78.0,61.14
L57931,Orthopedics,Doctor Referral,Visited website 1 times,Visited 1 pages,Digital Ad,31.0,30.26
L49925,Orthopedics,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,69.0,59.04
L61003,Neurology,Word of Mouth,Visited website 4 times,Visited 4 pages,Organic Search,44.0,55.71
L93817,Cardiology,Doctor Referral,Visited website 3 times,Visited 1 pages,Organic Search,55.0,75.12
L58897,Neurology,Digital Ad,Visited website 5 times,Visited 2 pages,Digital Ad,49.0,51.36
L97745,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,63.0,61.39
L52287,Pediatrics,Word of Mouth,Visited website 5 times,Visited 4 pages,Digital Ad,54.0,20.89
L43012,Orthopedics,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,40.0,46.7
L51783,Pediatrics,Doctor Referral,Visited website 1 times,Visited 1 pages,Organic Search,36.0,22.32
L95727,Orthopedics,Word of Mouth,Visited website 4 times,Visited 1 pages,Digital Ad,62.0,38.91
L78315,Orthopedics,Word of Mouth,Visited website 1 times,Visited 3 pages,Digital Ad,33.0,24.01
L93766,Pediatrics,Digital Ad,Visited website 4 times,Visited 2 pages,Organic Search,78.0,42.7
L56491,Orthopedics,Word of Mouth,Visited website 7 times,Visited 4 pages,Referral,55.0,50.03
L98941,Cardiology,Word of Mouth,Visited website 1 times,Visited 4 pages,Referral,61.0,64.06
L68584,Pediatrics,Word of Mouth,Visited website 7 times,Visited 3 pages,Organic Search,64.0,37.28
L22803,Orthopedics,Doctor Referral,Visited website 8 times,Visited 2 pages,Organic Search,32.0,53.25
L59625,Pediatrics,Word of Mouth,Visited website 6 times,Visited 3 pages,Digital Ad,77.0,31.49
L23698,Pediatrics,Doctor Referral,Visited website 7 times,Visited 2 pages,Digital Ad,72.0,39.43
L44560,Pediatrics,Digital Ad,Visited website 7 times,Visited 1 pages,Referral,59.0,31.9
L25376,Cardiology,Digital Ad,Visited website 1 times,Visited 3 pages,Digital Ad,33.0,49.62
L93654,Orthopedics,Word of Mouth,Visited website 3 times,Visited 3 pages,Digital Ad,46.0,33.08
L23117,Cardiology,Doctor Referral,Visited website 9 times,Visited 1 pages,Digital Ad,57.0,75.01
L66381,Pediatrics,Doctor Referral,Visited website 6 times,Visited 1 pages,Digital Ad,44.0,23.45
L47956,Pediatrics,Doctor Referral,Visited website 2 times,Visited 2 pages,Referral,62.0,32.26
L58786,Neurology,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,77.0,71.43
L97778,Neurology,Doctor Referral,Visited website 6 times,Visited 4 pages,Organic Search,68.0,80.08
L76480,Neurology,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,62.0,46.08
L41695,Pediatrics,Word of Mouth,Visited website 7 times,Visited 4 pages,Referral,75.0,38.76
L11511,Cardiology,Word of Mouth,Visited website 6 times,Visited 1 pages,Digital Ad,59.0,61.09
L63233,Pediatrics,Doctor Referral,Visited website 7 times,Visited 3 pages,Digital Ad,33.0,22.99
L32502,Pediatrics,Doctor Referral,Visited website 5 times,Visited 4 pages,Digital Ad,40.0,24.68
L60010,Cardiology,Digital Ad,Visited website 1 times,Visited 1 pages,Digital Ad,42.0,50.69
L83905,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Referral,31.0,26.68
L56489,Neurology,Digital Ad,Visited website 9 times,Visited 2 pages,Organic Search,61.0,73.27
L93533,Pediatrics,Word of Mouth,Visited website 5 times,Visited 1 pages,Digital Ad,60.0,19.05
L91165,Pediatrics,Word of Mouth,Visited website 3 times,Visited 3 pages,Digital Ad,69.0,23.2
L41949,Orthopedics,Word of Mouth,Visited website 3 times,Visited 1 pages,Digital Ad,53.0,33.23
L78376,Neurology,Word of Mouth,Visited website 3 times,Visited 4 pages,Organic Search,76.0,68.92
L89587,Orthopedics,Word of Mouth,Visited website 9 times,Visited 2 pages,Organic Search,66.0,60.22
L77310,Neurology,Doctor Referral,Visited website 7 times,Visited 1 pages,Digital Ad,79.0,71.84
L88798,Pediatrics,Digital Ad,Visited website 3 times,Visited 3 pages,Organic Search,38.0,24.27
L79407,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Referral,59.0,67.74
L83809,Pediatrics,Doctor Referral,Visited website 7 times,Visited 4 pages,Digital Ad,75.0,43.88
L27229,Cardiology,Digital Ad,Visited website 9 times,Visited 2 pages,Referral,46.0,71.48
L37385,Cardiology,Digital Ad,Visited website 5 times,Visited 4 pages,Referral,37.0,64.26
L52176,Cardiology,Digital Ad,Visited website 7 times,Visited 2 pages,Digital Ad,40.0,60.52
L13260,Orthopedics,Doctor Referral,Visited website 5 times,Visited 2 pages,Organic Search,72.0,67.08
L13145,Orthopedics,Doctor Referral,Visited website 3 times,Visited 4 pages,Digital Ad,54.0,48.54
L17802,Pediatrics,Digital Ad,Visited website 7 times,Visited 4 pages,Digital Ad,40.0,22.63
L12263,Orthopedics,Doctor Referral,Visited website 1 times,Visited 3 pages,Organic Search,47.0,50.95
L36913,Orthopedics,Doctor Referral,Visited website 3 times,Visited 2 pages,Referral,59.0,52.89
L67788,Orthopedics,Doctor Referral,Visited website 3 times,Visited 4 pages,Referral,69.0,60.57
L18155,Cardiology,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,64.0,57.25
L10922,Orthopedics,Digital Ad,Visited website 2 times,Visited 4 pages,Referral,69.0,53.92
L82231,Neurology,Digital Ad,Visited website 7 times,Visited 2 pages,Referral,63.0,66.0
L30672,Orthopedics,Digital Ad,Visited website 8 times,Visited 2 pages,Organic Search,78.0,69.33
L48526,Neurology,Word of Mouth,Visited website 9 times,Visited 2 pages,Digital Ad,65.0,59.75
L55344,Cardiology,Word of Mouth,Visited website 5 times,Visited 2 pages,Organic Search,43.0,63.95
L29014,Pediatrics,Digital Ad,Visited website 5 times,Visited 1 pages,Referral,51.0,25.14
L83352,Orthopedics,Digital Ad,Visited website 8 times,Visited 4 pages,Digital Ad,69.0,58.01
L50324,Pediatrics,Doctor Referral,Visited website 7 times,Visited 3 pages,Digital Ad,36.0,24.37
L48698,Pediatrics,Digital Ad,Visited website 3 times,Visited 4 pages,Organic Search,50.0,31.34
L87169,Pediatrics,Doctor Referral,Visited website 8 times,Visited 3 pages,Referral,69.0,46.24
L33384,Pediatrics,Doctor Referral,Visited website 8 times,Visited 4 pages,Digital Ad,57.0,37.12
L13512,Orthopedics,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,31.0,35.89
L16066,Neurology,Digital Ad,Visited website 4 times,Visited 1 pages,Digital Ad,34.0,41.37
L41500,Pediatrics,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,73.0,41.42
L88743,Cardiology,Word of Mouth,Visited website 9 times,Visited 1 pages,Referral,47.0,65.28
L95642,Cardiology,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,71.0,74.3
L89858,Neurology,Word of Mouth,Visited website 6 times,Visited 4 pages,Referral,39.0,51.36
L64800,Pediatrics,Digital Ad,Visited website 8 times,Visited 3 pages,Organic Search,44.0,34.72
L73140,Cardiology,Word of Mouth,Visited website 8 times,Visited 2 pages,Referral,65.0,73.58
L94954,Orthopedics,Word of Mouth,Visited website 8 times,Visited 1 pages,Referral,52.0,45.57
L12387,Cardiology,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,62.0,69.12
L66160,Pediatrics,Digital Ad,Visited website 3 times,Visited 1 pages,Referral,69.0,30.36
L69241,Pediatrics,Digital Ad,Visited website 4 times,Visited 2 pages,Digital Ad,64.0,26.01
L83567,Pediatrics,Digital Ad,Visited website 9 times,Visited 1 pages,Organic Search,36.0,29.49
L11799,Pediatrics,Doctor Referral,Visited website 5 times,Visited 2 pages,Organic Search,42.0,32.77
L45548,Cardiology,Digital Ad,Visited website 9 times,Visited 1 pages,Referral,58.0,75.47
L43895,Orthopedics,Digital Ad,Visited website 3 times,Visited 3 pages,Organic Search,76.0,62.26
L90171,Pediatrics,Word of Mouth,Visited website 6 times,Visited 2 pages,Organic Search,36.0,21.3
L50379,Pediatrics,Digital Ad,Visited website 5 times,Visited 4 pages,Organic Search,54.0,36.25
L55414,Neurology,Word of Mouth,Visited website 9 times,Visited 1 pages,Organic Search,42.0,57.86
L83071,Cardiology,Doctor Referral,Visited website 6 times,Visited 2 pages,Digital Ad,57.0,71.94
L78344,Orthopedics,Word of Mouth,Visited website 5 times,Visited 4 pages,Referral,69.0,53.41
L88591,Orthopedics,Digital Ad,Visited website 6 times,Visited 4 pages,Digital Ad,34.0,38.81
L14297,Orthopedics,Digital Ad,Visited website 7 times,Visited 4 pages,Referral,44.0,50.08
L96479,Neurology,Digital Ad,Visited website 6 times,Visited 4 pages,Referral,47.0,60.16
L15008,Cardiology,Word of Mouth,Visited website 2 times,Visited 1 pages,Organic Search,56.0,63.8
L96813,Pediatrics,Doctor Referral,Visited website 8 times,Visited 4 pages,Organic Search,60.0,48.75
L26820,Cardiology,Doctor Referral,Visited website 5 times,Visited 1 pages,Organic Search,59.0,80.03
L81548,Neurology,Word of Mouth,Visited website 7 times,Visited 4 pages,Organic Search,61.0,68.15
L32253,Pediatrics,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,37.0,19.71
L39202,Neurology,Word of Mouth,Visited website 3 times,Visited 1 pages,Referral,57.0,50.44
L39236,Orthopedics,Digital Ad,Visited website 3 times,Visited 3 pages,Digital Ad,55.0,42.35
L77156,Neurology,Digital Ad,Visited website 3 times,Visited 1 pages,Digital Ad,50.0,47.21
L70263,Pediatrics,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,62.0,35.33
L84855,Pediatrics,Digital Ad,Visited website 6 times,Visited 2 pages,Referral,51.0,28.21
L26575,Neurology,Doctor Referral,Visited website 1 times,Visited 2 pages,Organic Search,60.0,65.64
L22204,Cardiology,Digital Ad,Visited website 7 times,Visited 2 pages,Digital Ad,71.0,74.81
L21952,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Organic Search,49.0,76.96
L93323,Cardiology,Word of Mouth,Visited website 9 times,Visited 3 pages,Referral,39.0,64.67
L61142,Orthopedics,Doctor Referral,Visited website 1 times,Visited 3 pages,Organic Search,76.0,64.31
L43872,Orthopedics,Digital Ad,Visited website 9 times,Visited 4 pages,Digital Ad,41.0,46.65
L39376,Orthopedics,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,31.0,32.82
L76084,Orthopedics,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,63.0,64.46
L21640,Cardiology,Digital Ad,Visited website 8 times,Visited 4 pages,Organic Search,33.0,72.15
L36437,Cardiology,Digital Ad,Visited website 9 times,Visited 4 pages,Referral,64.0,82.85
L97681,Neurology,Digital Ad,Visited website 9 times,Visited 4 pages,Organic Search,60.0,75.88
L17903,Orthopedics,Word of Mouth,Visited website 8 times,Visited 1 pages,Organic Search,34.0,42.4
L93704,Neurology,Doctor Referral,Visited website 2 times,Visited 3 pages,Referral,55.0,61.29
L36863,Orthopedics,Digital Ad,Visited website 3 times,Visited 1 pages,Digital Ad,32.0,28.67
L53381,Pediatrics,Digital Ad,Visited website 3 times,Visited 4 pages,Digital Ad,32.0,12.8
L38548,Orthopedics,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,59.0,54.43
L59956,Orthopedics,Digital Ad,Visited website 7 times,Visited 3 pages,Referral,67.0,59.14
L84526,Cardiology,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,39.0,65.69
L21467,Pediatrics,Word of Mouth,Visited website 4 times,Visited 2 pages,Referral,78.0,32.46
L67954,Orthopedics,Word of Mouth,Visited website 9 times,Visited 1 pages,Referral,68.0,54.48
L33901,Pediatrics,Doctor Referral,Visited website 7 times,Visited 2 pages,Digital Ad,41.0,25.14
L65983,Neurology,Doctor Referral,Visited website 9 times,Visited 2 pages,Organic Search,42.0,69.64
L33301,Neurology,Word of Mouth,Visited website 8 times,Visited 1 pages,Organic Search,32.0,51.72
L95180,Cardiology,Word of Mouth,Visited website 8 times,Visited 1 pages,Organic Search,43.0,67.03
L79903,Orthopedics,Doctor Referral,Visited website 1 times,Visited 3 pages,Organic Search,46.0,50.49
L26204,Cardiology,Word of Mouth,Visited website 9 times,Visited 2 pages,Referral,65.0,75.12
L29755,Neurology,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,48.0,54.48
L69817,Orthopedics,Digital Ad,Visited website 8 times,Visited 4 pages,Referral,44.0,51.61
L12093,Pediatrics,Word of Mouth,Visited website 8 times,Visited 3 pages,Organic Search,73.0,42.96
L79537,Cardiology,Digital Ad,Visited website 5 times,Visited 3 pages,Digital Ad,46.0,61.75
L32940,Orthopedics,Word of Mouth,Visited website 6 times,Visited 3 pages,Digital Ad,78.0,52.43
L83346,Neurology,Word of Mouth,Visited website 8 times,Visited 4 pages,Organic Search,51.0,65.08
L54040,Pediatrics,Digital Ad,Visited website 8 times,Visited 1 pages,Organic Search,45.0,32.1
L47322,Orthopedics,Doctor Referral,Visited website 2 times,Visited 3 pages,Referral,37.0,42.75
L94437,Orthopedics,Word of Mouth,Visited website 3 times,Visited 1 pages,Referral,43.0,33.74
L97725,Cardiology,Word of Mouth,Visited website 2 times,Visited 3 pages,Referral,71.0,68.66
L19236,Pediatrics,Digital Ad,Visited website 2 times,Visited 3 pages,Digital Ad,48.0,17.1
L82597,Cardiology,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,48.0,64.21
L94124,Pediatrics,Digital Ad,Visited website 2 times,Visited 2 pages,Referral,60.0,26.22
L13902,Orthopedics,Doctor Referral,Visited website 1 times,Visited 2 pages,Organic Search,57.0,54.02
L44364,Pediatrics,Word of Mouth,Visited website 4 times,Visited 1 pages,Digital Ad,30.0,3.69
L30096,Orthopedics,Word of Mouth,Visited website 7 times,Visited 1 pages,Digital Ad,60.0,42.6
L22020,Neurology,Doctor Referral,Visited website 5 times,Visited 3 pages,Referral,36.0,57.14
L68473,Neurology,Doctor Referral,Visited website 1 times,Visited 1 pages,Referral,33.0,46.54
L54153,Neurology,Digital Ad,Visited website 1 times,Visited 3 pages,Organic Search,79.0,70.81
L51277,Cardiology,Doctor Referral,Visited website 9 times,Visited 1 pages,Organic Search,68.0,90.32
L97221,Pediatrics,Doctor Referral,Visited website 4 times,Visited 1 pages,Referral,52.0,29.19
L48502,Neurology,Digital Ad,Visited website 9 times,Visited 2 pages,Digital Ad,36.0,51.51
L25675,Pediatrics,Word of Mouth,Visited website 1 times,Visited 3 pages,Digital Ad,54.0,13.21
L34365,Cardiology,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,71.0,79.42
L97812,Neurology,Digital Ad,Visited website 3 times,Visited 1 pages,Digital Ad,37.0,41.22
L88229,Neurology,Doctor Referral,Visited website 7 times,Visited 3 pages,Organic Search,70.0,81.0
L99049,Pediatrics,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,72.0,33.79
L62148,Neurology,Doctor Referral,Visited website 8 times,Visited 1 pages,Organic Search,41.0,66.1
L99157,Orthopedics,Doctor Referral,Visited website 2 times,Visited 1 pages,Referral,57.0,48.9
L99247,Orthopedics,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,40.0,53.87
L78078,Neurology,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,61.0,59.96
L92598,Orthopedics,Digital Ad,Visited website 6 times,Visited 3 pages,Digital Ad,36.0,38.2
L80902,Cardiology,Word of Mouth,Visited website 4 times,Visited 3 pages,Organic Search,72.0,77.32
L36465,Cardiology,Digital Ad,Visited website 2 times,Visited 4 pages,Referral,70.0,74.86
L42286,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Referral,62.0,20.48
L64795,Orthopedics,Doctor Referral,Visited website 3 times,Visited 4 pages,Referral,49.0,51.36
L50178,Neurology,Doctor Referral,Visited website 1 times,Visited 4 pages,Digital Ad,42.0,50.18
L89183,Orthopedics,Word of Mouth,Visited website 2 times,Visited 4 pages,Organic Search,41.0,41.01
L59986,Orthopedics,Digital Ad,Visited website 3 times,Visited 1 pages,Digital Ad,57.0,40.19
L53201,Pediatrics,Digital Ad,Visited website 7 times,Visited 3 pages,Digital Ad,37.0,19.71
L53315,Cardiology,Doctor Referral,Visited website 4 times,Visited 4 pages,Organic Search,34.0,71.58
L85396,Neurology,Digital Ad,Visited website 9 times,Visited 3 pages,Referral,76.0,76.6
L65178,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Organic Search,38.0,63.7
L20745,Orthopedics,Doctor Referral,Visited website 3 times,Visited 2 pages,Digital Ad,51.0,44.09
L82354,Orthopedics,Doctor Referral,Visited website 7 times,Visited 3 pages,Organic Search,40.0,56.94
L89637,Neurology,Digital Ad,Visited website 9 times,Visited 3 pages,Referral,59.0,68.77
L15028,Pediatrics,Doctor Referral,Visited website 7 times,Visited 3 pages,Referral,69.0,44.7
L58566,Neurology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,74.0,74.65
L53722,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,62.0,69.64
L96623,Neurology,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,58.0,58.58
L84974,Pediatrics,Doctor Referral,Visited website 5 times,Visited 3 pages,Organic Search,62.0,43.52
L93692,Neurology,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,73.0,63.44
L94084,Orthopedics,Digital Ad,Visited website 9 times,Visited 1 pages,Referral,59.0,55.45
L49879,Orthopedics,Doctor Referral,Visited website 4 times,Visited 2 pages,Organic Search,37.0,49.41
L34767,Orthopedics,Doctor Referral,Visited website 7 times,Visited 4 pages,Digital Ad,44.0,50.08
L78099,Neurology,Doctor Referral,Visited website 4 times,Visited 4 pages,Digital Ad,67.0,66.31
L58657,Pediatrics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,49.0,38.56
L18498,Pediatrics,Doctor Referral,Visited website 9 times,Visited 4 pages,Organic Search,32.0,37.38
L83667,Neurology,Digital Ad,Visited website 6 times,Visited 1 pages,Digital Ad,78.0,64.72
L35107,Pediatrics,Digital Ad,Visited website 7 times,Visited 3 pages,Referral,54.0,32.67
L38793,Orthopedics,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,33.0,45.01
L12696,Pediatrics,Digital Ad,Visited website 6 times,Visited 2 pages,Referral,35.0,20.84
L63839,Pediatrics,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,78.0,43.73
L99241,Pediatrics,Word of Mouth,Visited website 9 times,Visited 3 pages,Digital Ad,39.0,18.59
L33397,Neurology,Word of Mouth,Visited website 9 times,Visited 3 pages,Organic Search,76.0,76.6
L17704,Orthopedics,Digital Ad,Visited website 4 times,Visited 2 pages,Referral,44.0,42.4
L26442,Neurology,Digital Ad,Visited website 9 times,Visited 1 pages,Referral,34.0,54.17
L73788,Orthopedics,Doctor Referral,Visited website 2 times,Visited 1 pages,Digital Ad,55.0,42.86
L19765,Cardiology,Digital Ad,Visited website 5 times,Visited 3 pages,Referral,31.0,59.96
L20002,Pediatrics,Doctor Referral,Visited website 6 times,Visited 2 pages,Digital Ad,75.0,39.27
L21390,Neurology,Word of Mouth,Visited website 3 times,Visited 1 pages,Referral,63.0,53.2
L54436,Pediatrics,Digital Ad,Visited website 2 times,Visited 3 pages,Digital Ad,59.0,22.17
L94482,Cardiology,Digital Ad,Visited website 6 times,Visited 1 pages,Organic Search,32.0,64.0
L16641,Orthopedics,Digital Ad,Visited website 4 times,Visited 3 pages,Digital Ad,41.0,37.43
L43709,Cardiology,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,47.0,72.96
L49309,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Referral,31.0,54.84
L25624,Pediatrics,Doctor Referral,Visited website 4 times,Visited 3 pages,Organic Search,41.0,32.31
L19966,Cardiology,Digital Ad,Visited website 3 times,Visited 2 pages,Digital Ad,69.0,67.74
L99350,Orthopedics,Word of Mouth,Visited website 1 times,Visited 2 pages,Organic Search,40.0,35.94
L44189,Cardiology,Digital Ad,Visited website 3 times,Visited 2 pages,Organic Search,69.0,77.98
L81301,Pediatrics,Digital Ad,Visited website 3 times,Visited 2 pages,Digital Ad,44.0,15.26
L27223,Orthopedics,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,54.0,45.47
L88183,Orthopedics,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,54.0,44.44
L14959,Pediatrics,Word of Mouth,Visited website 4 times,Visited 1 pages,Organic Search,44.0,20.38
L37257,Cardiology,Digital Ad,Visited website 7 times,Visited 3 pages,Organic Search,70.0,86.12
L60802,Orthopedics,Digital Ad,Visited website 5 times,Visited 3 pages,Organic Search,71.0,63.03
L97748,Pediatrics,Word of Mouth,Visited website 9 times,Visited 1 pages,Referral,35.0,18.79
L37215,Orthopedics,Word of Mouth,Visited website 8 times,Visited 4 pages,Referral,42.0,45.57
L65046,Neurology,Digital Ad,Visited website 7 times,Visited 4 pages,Digital Ad,40.0,53.35
L44094,Orthopedics,Doctor Referral,Visited website 5 times,Visited 4 pages,Organic Search,30.0,50.79
L48669,Cardiology,Digital Ad,Visited website 4 times,Visited 4 pages,Digital Ad,61.0,68.66
L46126,Orthopedics,Digital Ad,Visited website 3 times,Visited 1 pages,Digital Ad,57.0,40.19
L89036,Neurology,Doctor Referral,Visited website 2 times,Visited 4 pages,Organic Search,59.0,69.79
L26772,Orthopedics,Digital Ad,Visited website 4 times,Visited 2 pages,Referral,41.0,41.01
L58586,Orthopedics,Word of Mouth,Visited website 6 times,Visited 4 pages,Organic Search,60.0,55.91
L61943,Pediatrics,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,69.0,33.95
L78868,Pediatrics,Doctor Referral,Visited website 2 times,Visited 2 pages,Organic Search,31.0,23.09
L59855,Orthopedics,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,58.0,47.31
L32218,Pediatrics,Digital Ad,Visited website 8 times,Visited 3 pages,Referral,43.0,29.13
L91008,Pediatrics,Digital Ad,Visited website 9 times,Visited 2 pages,Digital Ad,33.0,19.41
L67205,Pediatrics,Word of Mouth,Visited website 8 times,Visited 2 pages,Referral,50.0,25.7
L14959,Orthopedics,Word of Mouth,Visited website 2 times,Visited 4 pages,Organic Search,49.0,44.7
